bioguide_id,name,state,district,party,fec_ids
M001157,Michael T. McCaul,TX,10,R,H4TX10093
P000048,August Pfluger,TX,11,R,H0TX11230
G000601,Craig A. Goldman,TX,12,R,H4TX12065
J000304,Ronny Jackson,TX,13,R,H0TX13228
W000814,"Randy K. Weber, Sr.",TX,14,R,H2TX14149
D000594,Monica De La Cruz,TX,15,R,H0TX15124
E000299,Veronica Escobar,TX,16,D,H8TX16109
S000250,Pete Sessions,TX,17,R,H2TX03126
A000375,Jodey C. Arrington,TX,19,R,H6TX19099
C001091,Joaquin Castro,TX,20,D,H2TX35011
R000614,Chip Roy,TX,21,R,H8TX21307
N000026,Troy E. Nehls,TX,22,R,H0TX22302
G000594,Tony Gonzales,TX,23,R,H0TX35015
V000134,Beth Van Duyne,TX,24,R,H0TX24209
W000816,Roger Williams,TX,25,R,"H2TX33040,S2TX00270"
G000603,Brandon Gill,TX,26,R,H4TX26149
C001115,Michael Cloud,TX,27,R,H8TX27049
C001063,Henry Cuellar,TX,28,D,H2TX23082
G000587,Sylvia R. Garcia,TX,29,D,H8TX29052
C001130,Jasmine Crockett,TX,30,D,H2TX30178
C001051,John R. Carter,TX,31,R,H2TX31044
J000310,Julie Johnson,TX,32,D,H4TX32089
V000131,Marc A. Veasey,TX,33,D,H2TX33073
G000581,Vicente Gonzalez,TX,34,D,H6TX15162
C001131,Greg Casar,TX,35,D,H2TX35144
B001291,Brian Babin,TX,36,R,H6TX02079
D000399,Lloyd Doggett,TX,37,D,H4TX10028
H001095,Wesley Hunt,TX,38,R,H0TX07170
M001213,Blake D. Moore,UT,1,R,H0UT01205
M001228,Celeste Maloy,UT,2,R,H4UT02296
K000403,Mike Kennedy,UT,3,R,H4UT03260
O000086,Burgess Owens,UT,4,R,H0UT04076
W000804,Robert J. Wittman,VA,1,R,H8VA01147
K000399,Jennifer A. Kiggans,VA,2,R,H2VA02064
S000185,"Robert C. ""Bobby"" Scott",VA,3,D,H6VA01117
M001227,Jennifer L. McClellan,VA,4,D,H4VA04066
M001239,John J. McGuire III,VA,5,R,H4VA05071
C001118,Ben Cline,VA,6,R,H8VA06104
V000138,Eugene Simon Vindman,VA,7,D,H4VA07234
B001292,"Donald S. Beyer, Jr.",VA,8,D,H4VA08224
G000568,H. Morgan Griffith,VA,9,R,H0VA09055
S001230,Suhas Subramanyam,VA,10,D,H4VA10279
P000610,Stacey E. Plaskett,VI,0,D,H2VI00082
B001318,Becca Balint,VT,0,D,H2VT01076
D000617,Suzan K. DelBene,WA,1,D,H0WA08046
L000560,Rick Larsen,WA,2,D,H0WA02080
G000600,Marie Gluesenkamp Perez,WA,3,D,H2WA03217
N000189,Dan Newhouse,WA,4,R,H4WA04104
B001322,Michael Baumgartner,WA,5,R,H4WA05234
R000621,Emily Randall,WA,6,D,H4WA06117
J000298,Pramila Jayapal,WA,7,D,H6WA07458
S001216,Kim Schrier,WA,8,D,H8WA08189
S000510,Adam Smith,WA,9,D,H6WA09025
S001159,Marilyn Strickland,WA,10,D,H0WA10034
S001213,Bryan Steil,WI,1,R,H8WI01156
P000607,Mark Pocan,WI,2,D,H2WI02124
V000135,Derrick Van Orden,WI,3,R,H0WI03175
M001160,Gwen Moore,WI,4,D,H4WI04183
F000471,Scott Fitzgerald,WI,5,R,H0WI05113
G000576,Glenn Grothman,WI,6,R,H4WI06048
T000165,Thomas P. Tiffany,WI,7,R,H0WI07101
W000829,Tony Wied,WI,8,R,H4WI08119
M001205,Carol D. Miller,WV,1,R,H8WV03097
M001235,Riley M. Moore,WV,2,R,H4WV02205
H001096,Harriet M. Hageman,WY,0,R,H2WY00166
M001153,Lisa Murkowski,AK,,R,S4AK00099
S001198,Dan Sullivan,AK,,R,S4AK00214
T000278,Tommy Tuberville,AL,,R,S0AL00230
B001319,Katie Boyd Britt,AL,,R,S2AL00145
B001236,John Boozman,AR,,R,"H2AR03176,S0AR00150"
C001095,Tom Cotton,AR,,R,"H2AR04083,S4AR00103"
G000574,Ruben Gallego,AZ,,D,H4AZ07043
K000377,Mark Kelly,AZ,,D,S0AZ00350
S001150,Adam B. Schiff,CA,,D,H0CA27085
P000145,Alex Padilla,CA,,D,S2CA00955
B001267,Michael F. Bennet,CO,,D,S0CO00211
H000273,John W. Hickenlooper,CO,,D,S0CO00575
B001277,Richard Blumenthal,CT,,D,S0CT00177
M001169,Christopher Murphy,CT,,D,"H6CT05124,S2CT00132"
C001088,Christopher A. Coons,DE,,D,S0DE00092
B001303,Lisa Blunt Rochester,DE,,D,H6DE00206
S001217,Rick Scott,FL,,R,S8FL00273
M001244,Ashley Moody,FL,,R,
O000174,Jon Ossoff,GA,,D,"H8GA06195,S8GA00180"
W000790,Raphael G. Warnock,GA,,D,S0GA00559
H001042,Mazie K. Hirono,HI,,D,"H6HI02251,S2HI00106"
S001194,Brian Schatz,HI,,D,"S4HI00136,H6HI02244"
G000386,Chuck Grassley,IA,,R,S0IA00028
E000295,Joni Ernst,IA,,R,S4IA00129
R000584,James E. Risch,ID,,R,S8ID00092
C000880,Mike Crapo,ID,,R,"S8ID00027,H2ID02034"
D000563,Richard J. Durbin,IL,,D,"S6IL00151,H2IL20026"
D000622,Tammy Duckworth,IL,,D,"H6IL06141,S6IL00292"
Y000064,Todd Young,IN,,R,"H0IN09070,S6IN00191"
B001299,Jim Banks,IN,,R,H6IN03229
M000934,Jerry Moran,KS,,R,"H6KS01096,S0KS00091"
